			Loan Document for jm			
			----------------------------
Loan Amount: $4444.00	Interest rate: 4%	Nbr Years: 4
Monthly Payment: $100.34	Total Payment: $4816.32

Amortization Schedule
Payment #           Interest            Principal Pmt       Remaining Prin      
1                   $14.81              $85.53              $4,358.47           
2                   $14.53              $85.81              $4,272.66           
3                   $14.24              $86.10              $4,186.56           
4                   $13.96              $86.38              $4,100.18           
5                   $13.67              $86.67              $4,013.51           
6                   $13.38              $86.96              $3,926.54           
7                   $13.09              $87.25              $3,839.29           
8                   $12.80              $87.54              $3,751.75           
9                   $12.51              $87.83              $3,663.92           
10                  $12.21              $88.13              $3,575.79           
11                  $11.92              $88.42              $3,487.37           
12                  $11.62              $88.72              $3,398.65           
13                  $11.33              $89.01              $3,309.64           
14                  $11.03              $89.31              $3,220.33           
15                  $10.73              $89.61              $3,130.73           
16                  $10.44              $89.90              $3,040.82           
17                  $10.14              $90.20              $2,950.62           
18                  $9.84               $90.50              $2,860.12           
19                  $9.53               $90.81              $2,769.31           
20                  $9.23               $91.11              $2,678.20           
21                  $8.93               $91.41              $2,586.79           
22                  $8.62               $91.72              $2,495.07           
23                  $8.32               $92.02              $2,403.05           
24                  $8.01               $92.33              $2,310.72           
25                  $7.70               $92.64              $2,218.08           
26                  $7.39               $92.95              $2,125.13           
27                  $7.08               $93.26              $2,031.88           
28                  $6.77               $93.57              $1,938.31           
29                  $6.46               $93.88              $1,844.43           
30                  $6.15               $94.19              $1,750.24           
31                  $5.83               $94.51              $1,655.73           
32                  $5.52               $94.82              $1,560.91           
33                  $5.20               $95.14              $1,465.78           
34                  $4.89               $95.45              $1,370.32           
35                  $4.57               $95.77              $1,274.55           
36                  $4.25               $96.09              $1,178.46           
37                  $3.93               $96.41              $1,082.05           
38                  $3.61               $96.73              $985.31             
39                  $3.28               $97.06              $888.26             
40                  $2.96               $97.38              $790.88             
41                  $2.64               $97.70              $693.17             
42                  $2.31               $98.03              $595.15             
43                  $1.98               $98.36              $496.79             
44                  $1.66               $98.68              $398.11             
45                  $1.33               $99.01              $299.09             
46                  $1.00               $99.34              $199.75             
47                  $0.67               $99.67              $100.07             
48                  $0.33               $100.01             $0.07               

